,id,solutunniste,taso,tunnusluku,tunnusluku_sv,tunnusluku_en,tehtava,tehtava_sv,tehtava_en,tunnusluku_jarjestys,tehtava_jarjestys,tunnusluku_kayttokohde,tunnusluku_sisennys,tekstitunniste,entrypoint,versio,tekninen_versio,osakokonaisuus,pakollisuus,tunnusluku_kayttokohde_sv,tunnusluku_kayttokohde_en,sektori,sektori_sv,sektori_en,palvelu,palvelu_sv,palvelu_en
0,14862,3460381,1,5000-5499 Verotulot,Skatteinkomster,Verotulot,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,Sektorklassificeringens hierarki inklusive interna och externa motparter 2018,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,110,1.0,"Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",5000-5499 Verotulot,fi_met:md103|fi_CT:S13133|fi_MC:x68,KKNR,jhs-2018-01,2020-04-01,k-t07,,"Saldon för kommunens resultaträknings konton (kumulativt), inklusive sektorklassificering och Statistikcentralens övriga databehov","Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",Ahvenanmaan maakunnan hallitus,Ålands landskapsregering,Ahvenanmaan maakunnan hallitus,,,
1,368,973,2,6000-6099 Korkotuotot,Ränteintäkter,Korkotuotot,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,Sektorklassificeringens hierarki inklusive interna och externa motparter 2018,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,126,1.0,"Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",   6000-6099 Korkotuotot,fi_met:md103|fi_MC:x1128,KKNR,jhs-2018-01,2020-04-01,k-t07,,"Saldon för kommunens resultaträknings konton (kumulativt), inklusive sektorklassificering och Statistikcentralens övriga databehov","Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",Ulkoiset,Externa,Ulkoiset,,,
2,373,1164,1,8000-8199 Satunnaiset erät + (-),Extraordinära poster + (-),Satunnaiset erät + (-),Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,Sektorklassificeringens hierarki inklusive interna och externa motparter 2018,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,161,1.0,"Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",8000-8199 Satunnaiset erät + (-),fi_met:md103|fi_MC:x497,KKNR,jhs-2018-01,2020-04-01,k-t07,,"Saldon för kommunens resultaträknings konton (kumulativt), inklusive sektorklassificering och Statistikcentralens övriga databehov","Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",Ulkoiset,Externa,Ulkoiset,,,
3,381,1447,1,8800-8800 Tilikauden ylijäämä (alijäämä),Räkenskapsperiodens överskott (underskott),Tilikauden ylijäämä (alijäämä),Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,Sektorklassificeringens hierarki inklusive interna och externa motparter 2018,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,182,1.0,"Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",8800-8800 Tilikauden ylijäämä (alijäämä),fi_met:md103|fi_MC:x77,KKNR,jhs-2018-01,2020-04-01,k-t07,,"Saldon för kommunens resultaträknings konton (kumulativt), inklusive sektorklassificering och Statistikcentralens övriga databehov","Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",Ulkoiset,Externa,Ulkoiset,,,
4,382,1470,1,7000-7299 Poistot ja arvonalentumiset,Avskrivningar och nedskrivningar,Poistot ja arvonalentumiset,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,Sektorklassificeringens hierarki inklusive interna och externa motparter 2018,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,153,1.0,"Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",7000-7299 Poistot ja arvonalentumiset,fi_met:md103|fi_MC:x448,KKNR,jhs-2018-01,2020-04-01,k-t07,,"Saldon för kommunens resultaträknings konton (kumulativt), inklusive sektorklassificering och Statistikcentralens övriga databehov","Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",Ulkoiset,Externa,Ulkoiset,,,
5,13975,3319202,1,Toimintatuotot,Verksamhetsintäkter,Toimintatuotot,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,Sektorklassificeringens hierarki inklusive interna och externa motparter 2018,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,1,1.0,"Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",Toimintatuotot,fi_met:md103|fi_CT:S1|fi_MC:x58,KKNR,jhs-2018-01,2020-04-01,k-t07,,"Saldon för kommunens resultaträknings konton (kumulativt), inklusive sektorklassificering och Statistikcentralens övriga databehov","Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",Koko kansantalous,Totala ekonomin,Koko kansantalous,,,
6,15217,3530882,1,5500-5899 Valtionosuudet,Statsandelar,Valtionosuudet,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,Sektorklassificeringens hierarki inklusive interna och externa motparter 2018,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,115,1.0,"Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",5500-5899 Valtionosuudet,fi_met:md103|fi_CT:S1|fi_MC:x72,KKNR,jhs-2018-01,2020-04-01,k-t07,,"Saldon för kommunens resultaträknings konton (kumulativt), inklusive sektorklassificering och Statistikcentralens övriga databehov","Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",Koko kansantalous,Totala ekonomin,Koko kansantalous,,,
7,14554,3417986,1,Toimintakulut,Verksamhetskostnader,Toimintakulut,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,Sektorklassificeringens hierarki inklusive interna och externa motparter 2018,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,21,1.0,"Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",Toimintakulut,fi_met:md103|fi_CT:S1|fi_MC:x64,KKNR,jhs-2018-01,2020-04-01,k-t07,,"Saldon för kommunens resultaträknings konton (kumulativt), inklusive sektorklassificering och Statistikcentralens övriga databehov","Kunnan tuloslaskelman tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",Koko kansantalous,Totala ekonomin,Koko kansantalous,,,
8,24725,4363565,4,2500-2539 Lyhytaikainen (korollinen vieras pääoma),Korfristigt räntebelagt främmande kapital,Lyhytaikainen (korollinen vieras pääoma),Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,Sektorklassificeringens hierarki inklusive interna och externa motparter 2018,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,188,1.0,"Kunnan taseen tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",         2500-2539 Lyhytaikainen (korollinen vieras pääoma),fi_met:mi53|fi_CT:S1|fi_MC:x1812,KKNR,jhs-2018-01,2020-04-01,k-t09,,"Saldon för kommunens balansräknings konton (kumulativt), inklusive sektorklassificering och Statistikcentralens övriga databehov","Kunnan taseen tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",Koko kansantalous,Totala ekonomin,Koko kansantalous,,,
9,23658,4362476,4,2400-2439 Pitkäaikainen (korollinen vieras pääoma),Långfristigt räntefritt främmande kapital,Pitkäaikainen (korollinen vieras pääoma),Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,Sektorklassificeringens hierarki inklusive interna och externa motparter 2018,Sektoriluokituksen hierarkia laajennettuna sisäisillä ja ulkoisilla vastapuolilla 2018,160,1.0,"Kunnan taseen tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",         2400-2439 Pitkäaikainen (korollinen vieras pääoma),fi_met:mi53|fi_CT:S1|fi_MC:x1799,KKNR,jhs-2018-01,2020-04-01,k-t09,,"Saldon för kommunens balansräknings konton (kumulativt), inklusive sektorklassificering och Statistikcentralens övriga databehov","Kunnan taseen tilien saldot (kumulatiivinen), syvennettynä sektoriluokituksella ja Tilastokeskuksen  muilla tietotarpeilla",Koko kansantalous,Totala ekonomin,Koko kansantalous,,,
