NPC,c_r,c_sse,c_sselat,c_sseax,c_x0,c_y0,c_z0,c_tilt_x,c_tilt_y,c_tilt_z,el_major,el_minor,el_q,el_rot,el_ssum,el_ssumXY,el_ssumZ,ce_x0,ce_y0,cez0,e_tilt_x,e_tilt_y,e_tilt_z
0,47.861505432025794,40.5315354039799,3.015247175816066,37.51628822816384,-0.21133194426240348,0.6492931134140555,32.45458937802336,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05,51.2,45.2,0.88,0.6255,77.10000000000001,39.6,37.525,-0.15985282099852893,0.6035445510262665,32.44646368778748,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05
1,45.58456324302781,90.67367436515897,8.68068824767022,81.99298611748875,-0.21133194426240348,0.6492931134140555,32.45458937802336,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05,59.074999999999996,36.3,0.6150000000000001,-0.3965,164.075,82.075,82.0,-0.15985282099852893,0.6035445510262665,32.44646368778748,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05
2,48.0987717763029,61.343047626877734,4.537193607393229,56.80585401948451,-0.21133194426240348,0.6492931134140555,32.45458937802336,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05,54.55,42.65,0.78,0.5295,77.19999999999999,20.400000000000002,56.800000000000004,-0.15985282099852893,0.6035445510262665,32.44646368778748,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05
3,46.867583798324944,44.13099848043806,2.9578685291334095,41.173129951304645,-0.21133194426240348,0.6492931134140555,32.45458937802336,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05,50.075,44.324999999999996,0.885,0.2345,77.9,36.75,41.175,-0.15985282099852893,0.6035445510262665,32.44646368778748,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05
4,48.264788652476234,14.843769785445541,3.9016084489776017,10.942161336467938,-0.21133194426240348,0.6492931134140555,32.45458937802336,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05,53.5,44.05,0.8325,-0.35774999999999996,32.675,21.725,10.95,-0.15985282099852893,0.6035445510262665,32.44646368778748,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05
5,47.913674276619766,60.550289792924175,3.5039803752582674,57.04630941766591,-0.21133194426240348,0.6492931134140555,32.45458937802336,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05,51.425,45.474999999999994,0.885,0.65175,124.17499999999998,67.14999999999999,57.050000000000004,-0.15985282099852893,0.6035445510262665,32.44646368778748,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05
6,48.313782360786405,47.76793696897355,3.011307152737485,44.75662981623607,-0.21133194426240348,0.6492931134140555,32.45458937802336,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05,52.15,45.125,0.8625,0.469,67.375,22.599999999999998,44.725,-0.15985282099852893,0.6035445510262665,32.44646368778748,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05
7,47.43955331442817,45.3714743542468,3.257246351510432,42.11422800273637,-0.21133194426240348,0.6492931134140555,32.45458937802336,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05,50.825,44.825,0.8825,-0.7397500000000001,81.72500000000001,39.625,42.125,-0.15985282099852893,0.6035445510262665,32.44646368778748,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05
8,48.16234336505214,32.25434978562089,4.572673721412039,27.681676064208848,-0.21133194426240348,0.6492931134140555,32.45458937802336,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05,53.300000000000004,44.45,0.8375,0.20849999999999996,97.35,69.675,27.7,-0.15985282099852893,0.6035445510262665,32.44646368778748,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05
9,48.692671155169585,34.69312834615786,2.6141610450391353,32.07896730111872,-0.21133194426240348,0.6492931134140555,32.45458937802336,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05,51.7,46.125,0.8925,0.23575000000000002,53.375,21.299999999999997,32.1,-0.15985282099852893,0.6035445510262665,32.44646368778748,-0.010464548298222973,0.025761226256204212,-2.1985006005170726e-05
